Network,Next_Hop,Metric,LocPrf,Weight,Path,Is_Transit,Num_Hops,Anomaly_Score,Anomaly
1.1.8.0/24,195.229.0.58,12222,80,0,2914 4837 4837 138421,1,4.0,0.028155116296520455,1
1.6.6.0/24,195.229.0.62,16031,70,0,174 9583,1,2.0,0.05753698814176972,1
1.6.7.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
1.6.42.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
1.6.46.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
1.6.59.0/24,195.229.0.22,100,70,0,6762 1299 9583,1,3.0,0.06854559773885321,1
1.6.139.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
1.6.144.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
1.6.146.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
1.6.197.0/24,195.229.0.22,,70,0,1299 6453 4755 9583,1,4.0,0.028155116296520455,1
.,.,.,.,.,.,.,.,.,.
2c0f:ff30::/32,2001:8f8::56,1560,100,0,37662 37236 37334,0,3.0,0.044311156282194175,1
2c0f:ff30:197::/48,2001:8f8::56,,100,0,30844 37236 37334,0,3.0,0.044311156282194175,1
2c0f:ff40::/26,2001:8f8::60,,100,0,10474,0,1.0,-0.003864659831278816,-1
2c0f:ff80::/32,2001:8f8::57,0,100,0,6939 327698,0,2.0,0.06588251075648299,1
2c0f:ff90::/32,2001:8f8::40,7,120,0,15808 15808 15808 15808,0,4.0,-0.01567817105781044,-1
2c0f:ffa0::/32,2001:8f8::57,0,100,0,6939 37273,0,2.0,0.06588251075648299,1
2c0f:ffc8::/32,2001:8f8::57,0,100,0,6939 22355,0,2.0,0.06588251075648299,1
2c0f:ffd0::/32,2001:8f8::57,0,100,0,6939 36968,0,2.0,0.06588251075648299,1
2c0f:ffd8::/32,2001:8f8::56,,100,0,30844 37105,0,2.0,0.06588251075648299,1
2c0f:fff0::/32,2001:8f8::60,1110,100,0,37662 37125,0,2.0,0.06588251075648299,1
